regime,ss,p1,p10,p30,return_period
Continental,0,0.010678357957388827,0.10179576894999964,0.27535501741694124,93.64735701785084
Continental,1,3.804003794540656e-5,3.803352690570083e-4,0.0011405718974376589,26288.09154804623
Continental,2,1.171904508899641e-8,1.1719044445968052e-7,3.5157129230078965e-7,85331184.61494353
Continental,3,0,0,0,Inf
Continental,4,0,0,0,Inf
Continental,5,0,0,0,Inf
Inland,0,0.16093403309008822,0.8270338727126976,0.9948253237338136,6.21372608887653
Inland,1,0.0044807951510454636,0.04391517427140457,0.12604458750170155,223.17467464824387
Inland,2,2.862578218454242e-4,0.0028588935725567532,0.008552184266808704,3493.354324969286
Inland,3,4.47183221391752e-5,4.470932443465525e-4,0.0013406801453026418,22362.198583563502
Inland,4,5.742118581194127e-6,5.741970209782732e-5,1.7224921541614258e-4,174151.75006574675
Inland,5,1.1553718442156101e-7,1.1553712430112384e-6,3.4661097245702877e-6,8655222.169438506
Coastal,0,0.2733424887377825,0.9589514641529016,0.9999308339438542,3.6584140453894096
Coastal,1,0.034865656759967896,0.29874221135158996,0.6551477264291785,28.681519091537137
Coastal,2,0.009452806482894156,0.09060676649163169,0.24793538512653046,105.78868845031418
Coastal,3,0.0036582178193067124,0.035985800412847935,0.10411906855826203,273.35715077499543
Coastal,4,6.023815635419122e-4,0.006007512978001062,0.017914485109878586,1660.077367109564
Coastal,5,4.591986637587206e-6,4.59189175022745e-5,1.3775042696273498e-4,217770.6685412821
Lowland,0,0.28510809017569844,0.9651338637158712,0.9999576150700077,3.507441684252972
Lowland,1,0.040731034880268184,0.3402127158912682,0.7127818875451946,24.551303519283813
Lowland,2,0.013966136626373476,0.13120302165233866,0.34422492565559126,71.60176266009117
Lowland,3,0.009684868524387174,0.09273501749649227,0.25320320314981604,103.25385393533534
Lowland,4,0.006181971708064973,0.06012800839772514,0.16975527845384464,161.76068853492237
Lowland,5,0.0012757295511835818,0.012684307239329118,0.03757228756668474,783.865200168979
